Country,Collection,WGS84 N,WGS84 E,Species,Time
Suomi,Finnish Insect Database,60.344725,23.763442,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-29
Suomi,Finnish Insect Database,62.319658,29.649202,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-29
Suomi,Hatikka.fi observations,61.498818,26.445602,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-28
Suomi,Hatikka.fi observations,61.374274,28.756878,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-28 [6:10]
Suomi,Finnish Insect Database,62.319658,29.649202,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-28
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",59.960172,23.381627,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-27 [12:41-13:40]
Suomi,Finnish Insect Database,63.503824,26.092726,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-27
Suomi,Finnish Insect Database,59.935095,23.382784,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-27
Suomi,Finnish Insect Database,62.319658,29.649202,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-26
Suomi,Finnish Insect Database,62.964285,28.080889,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-26
Suomi,Finnish Insect Database,62.872986,27.595948,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-26
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.648362,29.292551,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-25 [11:00-12:20]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.648362,29.292551,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-25 [11:00-12:20]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.648362,29.292551,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-25 [11:00-12:20]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.648362,29.292551,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-25 [11:00-12:20]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.648362,29.292551,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-08-25 [11:00-12:20]
